record_id,geography,reference_period,measure_type,headline_cpi_annual_pct,cpi_month_on_month_pct,food_cpi_annual_pct,housing_cpi_annual_pct,core_cpi_annual_pct,prior_period_headline_pct,usd_exchange_rate_local_per_usd,market_layer,narrative_layer,composite_status,source_institution,source_url,retrieved_date,comparability_note
TUN-2026-07,Tunisia,2026-07,monthly_annual_rate,5.1,0.2,6.6,,,5.3,,missing,pending_audit,withheld,National Institute of Statistics,https://www.ins.tn/en/statistiques/90,2026-08-07,Latest pilot release; July is not relabeled as June
SAU-2026-06,Saudi Arabia,2026-06,monthly_annual_rate,1.8,0.2,1.4,3.5,,,,missing,pending_audit,withheld,General Authority for Statistics,https://www.stats.gov.sa/documents/20117/2435267/CPI%2BJun%2B2026-EN%2B%281%29.pdf/06a48d85-4368-1e92-dfcb-8a092010e724?t=1783941888045,2026-08-07,Monthly series; CPI methodology updated from August 2025
MAR-2026-06,Morocco,2026-06,monthly_annual_rate,0.3,-0.4,-2.3,,-0.1,,,missing,pending_audit,withheld,Haut-Commissariat au Plan,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Juin-2026_a4339.html,2026-08-07,Monthly series
JOR-2026-H1,Jordan,2026-H1,first_half_annual_rate,2.03,,,,,1.98,,missing,pending_audit,withheld,Department of Statistics,https://dosweb.dos.gov.jo/cpi_072026/,2026-08-07,Period-average rate; excluded from monthly comparison
PSE-2026-06,Palestine overall,2026-06,monthly_annual_rate,-40.04,-1.60,,,,,2.94,fx_only,pending_audit,withheld_structural_break,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=26333,2026-08-07,Aggregate dominated by conflict-driven Gaza base effects; not a low-stress signal
PSE-WB-2026-06,West Bank excluding J1,2026-06,regional_monthly_annual_rate,1.31,-1.60,,,,,,,pending_audit,withheld_regional_series,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=26333,2026-08-07,Published separately from overall Palestine
PSE-J1-2026-06,Jerusalem J1,2026-06,regional_monthly_annual_rate,2.31,-0.53,,,,,,,pending_audit,withheld_regional_series,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=26333,2026-08-07,PCBS J1 definition retained in release notes
PSE-GZA-2026-06,Gaza Strip,2026-06,regional_monthly_annual_rate,-62.77,-1.87,,,,,-41.66,,pending_audit,withheld_structural_break,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=26333,2026-08-07,Fall follows unprecedented wartime price levels; direction is not a welfare signal
